TransactionID,LeaseID,TenantID,UnitID,DueDate,PaidDate,AmountDue,AmountPaid
TX00002_202408,L00002,T0622,U0089,2024-08-01,2024-08-01,2420,2420
TX00003_202208,L00003,T0668,U0294,2022-08-01,2022-08-02,1418,1418
TX00003_202209,L00003,T0668,U0294,2022-09-01,2022-09-01,1418,1418
TX00003_202210,L00003,T0668,U0294,2022-10-01,2022-10-01,1418,1418
TX00003_202211,L00003,T0668,U0294,2022-11-01,2022-11-02,1418,1368
TX00003_202212,L00003,T0668,U0294,2022-12-01,2022-12-02,1418,1418
TX00003_202301,L00003,T0668,U0294,2023-01-01,2023-01-01,1418,1418
TX00003_202302,L00003,T0668,U0294,2023-02-01,2023-02-11,1418,1368
TX00003_202303,L00003,T0668,U0294,2023-03-01,2023-03-01,1418,1418
TX00003_202304,L00003,T0668,U0294,2023-04-01,2023-04-04,1418,1368
TX00003_202305,L00003,T0668,U0294,2023-05-01,2023-05-04,1418,1368
TX00003_202306,L00003,T0668,U0294,2023-06-01,2023-06-02,1418,1418
TX00003_202307,L00003,T0668,U0294,2023-07-01,2023-07-02,1418,1418
TX00003_202308,L00003,T0668,U0294,2023-08-01,2023-08-02,1418,1418
TX00003_202309,L00003,T0668,U0294,2023-09-01,2023-09-01,1418,1418
TX00003_202310,L00003,T0668,U0294,2023-10-01,2023-10-02,1418,1418
TX00003_202311,L00003,T0668,U0294,2023-11-01,2023-11-02,1418,1368
TX00003_202312,L00003,T0668,U0294,2023-12-01,2023-12-04,1418,1418
TX00003_202401,L00003,T0668,U0294,2024-01-01,2024-01-02,1418,1418
TX00004_202203,L00004,T0288,U0340,2022-03-01,2022-03-02,1165,1165
TX00004_202204,L00004,T0288,U0340,2022-04-01,2022-04-02,1165,1115
TX00004_202205,L00004,T0288,U0340,2022-05-01,2022-05-02,1165,1165
TX00004_202206,L00004,T0288,U0340,2022-06-01,2022-06-01,1165,1165
TX00004_202207,L00004,T0288,U0340,2022-07-01,2022-07-02,1165,1115
TX00004_202208,L00004,T0288,U0340,2022-08-01,2022-08-02,1165,1165
TX00004_202209,L00004,T0288,U0340,2022-09-01,2022-09-02,1165,1165
TX00004_202210,L00004,T0288,U0340,2022-10-01,2022-10-02,1165,1165
TX00004_202211,L00004,T0288,U0340,2022-11-01,2022-11-02,1165,1165
TX00004_202212,L00004,T0288,U0340,2022-12-01,2022-12-04,1165,1165
TX00004_202301,L00004,T0288,U0340,2023-01-01,2023-01-01,1165,1165
TX00004_202302,L00004,T0288,U0340,2023-02-01,2023-02-01,1165,1165
TX00004_202303,L00004,T0288,U0340,2023-03-01,2023-03-01,1165,1165
TX00004_202304,L00004,T0288,U0340,2023-04-01,2023-04-02,1165,1165
TX00004_202305,L00004,T0288,U0340,2023-05-01,2023-05-01,1165,1165
TX00004_202306,L00004,T0288,U0340,2023-06-01,2023-06-04,1165,1065
TX00004_202307,L00004,T0288,U0340,2023-07-01,2023-07-02,1165,1165
TX00004_202308,L00004,T0288,U0340,2023-08-01,2023-08-04,1165,1165
TX00005_202406,L00005,T0477,U0244,2024-06-01,2024-06-01,798,748
TX00005_202407,L00005,T0477,U0244,2024-07-01,2024-07-02,798,698
TX00005_202408,L00005,T0477,U0244,2024-08-01,2024-08-04,798,798
TX00005_202409,L00005,T0477,U0244,2024-09-01,2024-09-04,798,798
TX00005_202410,L00005,T0477,U0244,2024-10-01,2024-10-02,798,748
TX00005_202411,L00005,T0477,U0244,2024-11-01,2024-11-02,798,748
TX00005_202412,L00005,T0477,U0244,2024-12-01,2024-12-04,798,698
TX00005_202501,L00005,T0477,U0244,2025-01-01,2025-01-04,798,798
TX00005_202502,L00005,T0477,U0244,2025-02-01,2025-02-01,798,773
TX00005_202503,L00005,T0477,U0244,2025-03-01,2025-03-01,798,798
TX00005_202504,L00005,T0477,U0244,2025-04-01,2025-04-01,798,748
TX00005_202505,L00005,T0477,U0244,2025-05-01,2025-05-04,798,798
TX00005_202506,L00005,T0477,U0244,2025-06-01,2025-06-02,798,798
TX00005_202507,L00005,T0477,U0244,2025-07-01,2025-07-02,798,798
TX00005_202508,L00005,T0477,U0244,2025-08-01,2025-08-01,798,798
TX00005_202509,L00005,T0477,U0244,2025-09-01,2025-09-02,798,798
TX00005_202510,L00005,T0477,U0244,2025-10-01,2025-10-02,798,698
TX00005_202511,L00005,T0477,U0244,2025-11-01,2025-11-01,798,798
TX00005_202512,L00005,T0477,U0244,2025-12-01,2025-12-02,798,798
TX00005_202601,L00005,T0477,U0244,2026-01-01,2026-01-01,798,798
TX00005_202602,L00005,T0477,U0244,2026-02-01,2026-02-02,798,798
TX00005_202603,L00005,T0477,U0244,2026-03-01,2026-03-04,798,798
TX00006_202102,L00006,T0230,U0432,2021-02-01,2021-02-01,1965,1940
TX00006_202103,L00006,T0230,U0432,2021-03-01,2021-03-01,1965,1915
TX00006_202104,L00006,T0230,U0432,2021-04-01,2021-04-11,1965,1965
TX00006_202105,L00006,T0230,U0432,2021-05-01,2021-05-11,1965,1940
TX00006_202106,L00006,T0230,U0432,2021-06-01,2021-06-11,1965,1965
TX00006_202107,L00006,T0230,U0432,2021-07-01,2021-07-01,1965,1915
TX00006_202108,L00006,T0230,U0432,2021-08-01,2021-08-01,1965,1965
TX00006_202109,L00006,T0230,U0432,2021-09-01,2021-09-01,1965,1965
TX00006_202110,L00006,T0230,U0432,2021-10-01,2021-10-02,1965,1940
TX00006_202111,L00006,T0230,U0432,2021-11-01,2021-11-11,1965,1965
TX00006_202112,L00006,T0230,U0432,2021-12-01,2021-12-11,1965,1865
TX00006_202201,L00006,T0230,U0432,2022-01-01,2022-01-01,1965,1965
TX00006_202202,L00006,T0230,U0432,2022-02-01,2022-02-04,1965,1965
TX00006_202203,L00006,T0230,U0432,2022-03-01,2022-03-04,1965,1940
TX00006_202204,L00006,T0230,U0432,2022-04-01,2022-04-02,1965,1965
TX00006_202205,L00006,T0230,U0432,2022-05-01,2022-05-02,1965,1965
TX00006_202206,L00006,T0230,U0432,2022-06-01,2022-06-02,1965,1915
TX00006_202207,L00006,T0230,U0432,2022-07-01,2022-07-02,1965,1865
TX00006_202208,L00006,T0230,U0432,2022-08-01,2022-08-02,1965,1940
TX00006_202209,L00006,T0230,U0432,2022-09-01,2022-09-02,1965,1865
TX00006_202210,L00006,T0230,U0432,2022-10-01,2022-10-04,1965,1965
TX00006_202211,L00006,T0230,U0432,2022-11-01,2022-11-11,1965,1965
TX00007_202311,L00007,T0922,U0191,2023-11-01,2023-11-01,857,857
TX00007_202312,L00007,T0922,U0191,2023-12-01,2023-12-04,857,857
TX00007_202401,L00007,T0922,U0191,2024-01-01,2024-01-01,857,807
TX00007_202402,L00007,T0922,U0191,2024-02-01,2024-02-04,857,857
TX00007_202403,L00007,T0922,U0191,2024-03-01,2024-03-01,857,857
TX00007_202404,L00007,T0922,U0191,2024-04-01,2024-04-04,857,807
TX00007_202405,L00007,T0922,U0191,2024-05-01,2024-05-01,857,857
TX00007_202406,L00007,T0922,U0191,2024-06-01,2024-06-01,857,832
TX00007_202407,L00007,T0922,U0191,2024-07-01,2024-07-01,857,857
TX00007_202408,L00007,T0922,U0191,2024-08-01,2024-08-01,857,857
TX00007_202409,L00007,T0922,U0191,2024-09-01,2024-09-02,857,857
TX00007_202410,L00007,T0922,U0191,2024-10-01,2024-10-11,857,857
TX00007_202411,L00007,T0922,U0191,2024-11-01,2024-11-01,857,757
TX00007_202412,L00007,T0922,U0191,2024-12-01,2024-12-02,857,857
TX00007_202501,L00007,T0922,U0191,2025-01-01,2025-01-01,857,832
TX00007_202502,L00007,T0922,U0191,2025-02-01,2025-02-02,857,807
TX00008_202310,L00008,T0419,U0317,2023-10-01,2023-10-01,1309,1309
TX00008_202311,L00008,T0419,U0317,2023-11-01,2023-11-04,1309,1209
TX00008_202312,L00008,T0419,U0317,2023-12-01,2023-12-01,1309,1259
TX00008_202401,L00008,T0419,U0317,2024-01-01,2024-01-01,1309,1309
TX00008_202402,L00008,T0419,U0317,2024-02-01,2024-02-01,1309,1309
TX00008_202403,L00008,T0419,U0317,2024-03-01,2024-03-01,1309,1309
TX00008_202404,L00008,T0419,U0317,2024-04-01,2024-04-01,1309,1309
TX00008_202405,L00008,T0419,U0317,2024-05-01,2024-05-11,1309,1209
TX00009_202505,L00009,T0156,U0105,2025-05-01,2025-05-04,1253,1253
TX00009_202506,L00009,T0156,U0105,2025-06-01,2025-06-02,1253,1228
TX00009_202507,L00009,T0156,U0105,2025-07-01,2025-07-11,1253,1253
TX00009_202508,L00009,T0156,U0105,2025-08-01,2025-08-04,1253,1153
TX00009_202509,L00009,T0156,U0105,2025-09-01,2025-09-04,1253,1253
TX00009_202510,L00009,T0156,U0105,2025-10-01,2025-10-01,1253,1253
TX00009_202511,L00009,T0156,U0105,2025-11-01,2025-11-02,1253,1253
TX00009_202512,L00009,T0156,U0105,2025-12-01,2025-12-01,1253,1228
TX00010_202202,L00010,T0549,U0362,2022-02-01,2022-02-02,1350,1350
TX00010_202203,L00010,T0549,U0362,2022-03-01,2022-03-02,1350,1350
TX00010_202204,L00010,T0549,U0362,2022-04-01,2022-04-04,1350,1350
TX00010_202205,L00010,T0549,U0362,2022-05-01,2022-05-04,1350,1350
TX00010_202206,L00010,T0549,U0362,2022-06-01,2022-06-01,1350,1325
TX00010_202207,L00010,T0549,U0362,2022-07-01,2022-07-01,1350,1350
TX00010_202208,L00010,T0549,U0362,2022-08-01,2022-08-02,1350,1350
TX00010_202209,L00010,T0549,U0362,2022-09-01,2022-09-01,1350,1300
TX00010_202210,L00010,T0549,U0362,2022-10-01,2022-10-01,1350,1250
TX00010_202211,L00010,T0549,U0362,2022-11-01,2022-11-02,1350,1350
TX00010_202212,L00010,T0549,U0362,2022-12-01,2022-12-01,1350,1350
TX00010_202301,L00010,T0549,U0362,2023-01-01,2023-01-02,1350,1350
TX00010_202302,L00010,T0549,U0362,2023-02-01,2023-02-01,1350,1325
TX00010_202303,L00010,T0549,U0362,2023-03-01,2023-03-01,1350,1300
TX00011_202301,L00011,T0440,U0309,2023-01-01,2023-01-02,1619,1619
TX00011_202302,L00011,T0440,U0309,2023-02-01,2023-02-01,1619,1619
TX00011_202303,L00011,T0440,U0309,2023-03-01,2023-03-04,1619,1619
TX00011_202304,L00011,T0440,U0309,2023-04-01,2023-04-01,1619,1619
TX00011_202305,L00011,T0440,U0309,2023-05-01,2023-05-01,1619,1619
TX00011_202306,L00011,T0440,U0309,2023-06-01,2023-06-04,1619,1619
TX00012_202208,L00012,T0096,U0381,2022-08-01,2022-08-11,926,876
TX00012_202209,L00012,T0096,U0381,2022-09-01,2022-09-01,926,926
TX00012_202210,L00012,T0096,U0381,2022-10-01,2022-10-02,926,926
TX00012_202211,L00012,T0096,U0381,2022-11-01,2022-11-01,926,826
TX00012_202212,L00012,T0096,U0381,2022-12-01,2022-12-02,926,926
TX00012_202301,L00012,T0096,U0381,2023-01-01,2023-01-02,926,926
TX00012_202302,L00012,T0096,U0381,2023-02-01,2023-02-04,926,926
TX00012_202303,L00012,T0096,U0381,2023-03-01,2023-03-01,926,926
TX00012_202304,L00012,T0096,U0381,2023-04-01,2023-04-04,926,926
TX00012_202305,L00012,T0096,U0381,2023-05-01,2023-05-11,926,926
TX00012_202306,L00012,T0096,U0381,2023-06-01,2023-06-01,926,926
TX00012_202307,L00012,T0096,U0381,2023-07-01,2023-07-02,926,926
TX00012_202308,L00012,T0096,U0381,2023-08-01,2023-08-01,926,926
TX00012_202309,L00012,T0096,U0381,2023-09-01,2023-09-02,926,926
TX00012_202310,L00012,T0096,U0381,2023-10-01,2023-10-02,926,901
TX00012_202311,L00012,T0096,U0381,2023-11-01,2023-11-01,926,926
TX00012_202312,L00012,T0096,U0381,2023-12-01,2023-12-01,926,901
TX00012_202401,L00012,T0096,U0381,2024-01-01,2024-01-04,926,926
TX00013_202502,L00013,T0996,U0232,2025-02-01,2025-02-01,1122,1072
TX00013_202503,L00013,T0996,U0232,2025-03-01,2025-03-21,1122,1122
TX00013_202504,L00013,T0996,U0232,2025-04-01,2025-04-21,1122,1122
TX00013_202505,L00013,T0996,U0232,2025-05-01,2025-05-04,1122,1122
TX00013_202506,L00013,T0996,U0232,2025-06-01,2025-06-02,1122,1122
TX00013_202507,L00013,T0996,U0232,2025-07-01,2025-07-04,1122,1022
TX00013_202508,L00013,T0996,U0232,2025-08-01,2025-08-02,1122,1122
TX00013_202509,L00013,T0996,U0232,2025-09-01,2025-09-01,1122,1122
TX00013_202510,L00013,T0996,U0232,2025-10-01,2025-10-01,1122,1122
TX00013_202511,L00013,T0996,U0232,2025-11-01,2025-11-11,1122,1122
TX00013_202512,L00013,T0996,U0232,2025-12-01,2025-12-01,1122,1122
TX00014_202302,L00014,T0410,U0264,2023-02-01,2023-02-01,1795,1745
TX00014_202303,L00014,T0410,U0264,2023-03-01,2023-03-01,1795,1795
TX00014_202304,L00014,T0410,U0264,2023-04-01,2023-04-01,1795,1795
TX00014_202305,L00014,T0410,U0264,2023-05-01,2023-05-02,1795,1795
TX00014_202306,L00014,T0410,U0264,2023-06-01,2023-06-02,1795,1795
TX00014_202307,L00014,T0410,U0264,2023-07-01,2023-07-01,1795,1795
TX00014_202308,L00014,T0410,U0264,2023-08-01,2023-08-02,1795,1795
TX00014_202309,L00014,T0410,U0264,2023-09-01,2023-09-11,1795,1795
TX00014_202310,L00014,T0410,U0264,2023-10-01,2023-10-01,1795,1795
TX00014_202311,L00014,T0410,U0264,2023-11-01,2023-11-02,1795,1795
TX00014_202312,L00014,T0410,U0264,2023-12-01,2023-12-04,1795,1795
TX00014_202401,L00014,T0410,U0264,2024-01-01,2024-01-01,1795,1795
TX00014_202402,L00014,T0410,U0264,2024-02-01,2024-02-11,1795,1795
TX00014_202403,L00014,T0410,U0264,2024-03-01,2024-03-02,1795,1695
TX00014_202404,L00014,T0410,U0264,2024-04-01,2024-04-04,1795,1770
TX00014_202405,L00014,T0410,U0264,2024-05-01,2024-05-01,1795,1795
TX00014_202406,L00014,T0410,U0264,2024-06-01,2024-06-01,1795,1795
TX00014_202407,L00014,T0410,U0264,2024-07-01,2024-07-01,1795,1745
TX00014_202408,L00014,T0410,U0264,2024-08-01,2024-08-04,1795,1795
TX00014_202409,L00014,T0410,U0264,2024-09-01,2024-09-01,1795,1795
TX00014_202410,L00014,T0410,U0264,2024-10-01,2024-10-04,1795,1795
TX00014_202411,L00014,T0410,U0264,2024-11-01,2024-11-04,1795,1795
TX00014_202412,L00014,T0410,U0264,2024-12-01,2024-12-02,1795,1770
TX00015_202106,L00015,T0950,U0343,2021-06-01,2021-06-02,942,942
TX00015_202107,L00015,T0950,U0343,2021-07-01,2021-07-04,942,942
TX00015_202108,L00015,T0950,U0343,2021-08-01,2021-08-01,942,942
TX00015_202109,L00015,T0950,U0343,2021-09-01,2021-09-01,942,917
TX00015_202110,L00015,T0950,U0343,2021-10-01,2021-10-04,942,892
TX00015_202111,L00015,T0950,U0343,2021-11-01,2021-11-02,942,942
TX00015_202112,L00015,T0950,U0343,2021-12-01,2021-12-01,942,892
TX00015_202201,L00015,T0950,U0343,2022-01-01,2022-01-01,942,942
TX00015_202202,L00015,T0950,U0343,2022-02-01,2022-02-04,942,942
TX00015_202203,L00015,T0950,U0343,2022-03-01,2022-03-01,942,942
TX00015_202204,L00015,T0950,U0343,2022-04-01,2022-04-04,942,942
TX00015_202205,L00015,T0950,U0343,2022-05-01,2022-05-11,942,942
TX00015_202206,L00015,T0950,U0343,2022-06-01,2022-06-21,942,942
TX00015_202207,L00015,T0950,U0343,2022-07-01,2022-07-01,942,892
TX00015_202208,L00015,T0950,U0343,2022-08-01,2022-08-04,942,942
TX00015_202209,L00015,T0950,U0343,2022-09-01,2022-09-04,942,892
TX00015_202210,L00015,T0950,U0343,2022-10-01,2022-10-01,942,942
TX00015_202211,L00015,T0950,U0343,2022-11-01,2022-11-04,942,942
TX00016_202412,L00016,T0288,U0036,2024-12-01,2024-12-01,1229,1204
TX00016_202501,L00016,T0288,U0036,2025-01-01,2025-01-01,1229,1229
TX00016_202502,L00016,T0288,U0036,2025-02-01,2025-02-11,1229,1229
TX00016_202503,L00016,T0288,U0036,2025-03-01,2025-03-04,1229,1179
TX00016_202504,L00016,T0288,U0036,2025-04-01,2025-04-01,1229,1229
TX00016_202505,L00016,T0288,U0036,2025-05-01,2025-05-01,1229,1229
TX00016_202506,L00016,T0288,U0036,2025-06-01,2025-06-02,1229,1229
TX00016_202507,L00016,T0288,U0036,2025-07-01,2025-07-02,1229,1229
TX00016_202508,L00016,T0288,U0036,2025-08-01,2025-08-01,1229,1229
TX00016_202509,L00016,T0288,U0036,2025-09-01,2025-09-02,1229,1229
TX00016_202510,L00016,T0288,U0036,2025-10-01,2025-10-02,1229,1229
TX00016_202511,L00016,T0288,U0036,2025-11-01,2025-11-01,1229,1204
TX00016_202512,L00016,T0288,U0036,2025-12-01,2025-12-01,1229,1229
TX00016_202601,L00016,T0288,U0036,2026-01-01,2026-01-01,1229,1229
TX00016_202602,L00016,T0288,U0036,2026-02-01,2026-02-01,1229,1129
TX00016_202603,L00016,T0288,U0036,2026-03-01,2026-03-02,1229,1129
TX00016_202604,L00016,T0288,U0036,2026-04-01,2026-04-02,1229,1229
TX00016_202605,L00016,T0288,U0036,2026-05-01,2026-05-01,1229,1229
TX00016_202606,L00016,T0288,U0036,2026-06-01,2026-06-01,1229,1229
TX00016_202607,L00016,T0288,U0036,2026-07-01,2026-07-02,1229,1229
TX00016_202608,L00016,T0288,U0036,2026-08-01,2026-08-01,1229,1229
TX00017_202303,L00017,T0253,U0304,2023-03-01,2023-03-02,2312,2312
TX00017_202304,L00017,T0253,U0304,2023-04-01,2023-04-04,2312,2312
TX00017_202305,L00017,T0253,U0304,2023-05-01,2023-05-01,2312,2312
TX00017_202306,L00017,T0253,U0304,2023-06-01,2023-06-04,2312,2312
TX00017_202307,L00017,T0253,U0304,2023-07-01,2023-07-02,2312,2312
TX00017_202308,L00017,T0253,U0304,2023-08-01,2023-08-01,2312,2312
TX00017_202309,L00017,T0253,U0304,2023-09-01,2023-09-01,2312,2262
TX00017_202310,L00017,T0253,U0304,2023-10-01,2023-10-02,2312,2312
TX00017_202311,L00017,T0253,U0304,2023-11-01,2023-11-02,2312,2312
TX00017_202312,L00017,T0253,U0304,2023-12-01,2023-12-02,2312,2312
TX00017_202401,L00017,T0253,U0304,2024-01-01,2024-01-01,2312,2312
TX00017_202402,L00017,T0253,U0304,2024-02-01,2024-02-02,2312,2312
TX00017_202403,L00017,T0253,U0304,2024-03-01,2024-03-02,2312,2312
TX00017_202404,L00017,T0253,U0304,2024-04-01,2024-04-11,2312,2312
TX00017_202405,L00017,T0253,U0304,2024-05-01,2024-05-01,2312,2212
TX00017_202406,L00017,T0253,U0304,2024-06-01,2024-06-02,2312,2212
TX00017_202407,L00017,T0253,U0304,2024-07-01,2024-07-01,2312,2312
TX00017_202408,L00017,T0253,U0304,2024-08-01,2024-08-02,2312,2262
TX00018_202407,L00018,T0195,U0040,2024-07-01,2024-07-01,1768,1668
TX00018_202408,L00018,T0195,U0040,2024-08-01,2024-08-02,1768,1718
TX00018_202409,L00018,T0195,U0040,2024-09-01,2024-09-01,1768,1768
TX00018_202410,L00018,T0195,U0040,2024-10-01,2024-10-11,1768,1668
TX00018_202411,L00018,T0195,U0040,2024-11-01,2024-11-02,1768,1768
TX00018_202412,L00018,T0195,U0040,2024-12-01,2024-12-01,1768,1768
TX00018_202501,L00018,T0195,U0040,2025-01-01,2025-01-01,1768,1768
TX00018_202502,L00018,T0195,U0040,2025-02-01,2025-02-01,1768,1743
TX00018_202503,L00018,T0195,U0040,2025-03-01,2025-03-01,1768,1768
TX00019_202207,L00019,T0597,U0016,2022-07-01,2022-07-02,2195,2195
TX00019_202208,L00019,T0597,U0016,2022-08-01,2022-08-02,2195,2195
TX00019_202209,L00019,T0597,U0016,2022-09-01,2022-09-02,2195,2145
TX00019_202210,L00019,T0597,U0016,2022-10-01,2022-10-02,2195,2095
TX00019_202211,L00019,T0597,U0016,2022-11-01,2022-11-04,2195,2170
TX00019_202212,L00019,T0597,U0016,2022-12-01,2022-12-01,2195,2195
TX00019_202301,L00019,T0597,U0016,2023-01-01,2023-01-02,2195,2195
TX00019_202302,L00019,T0597,U0016,2023-02-01,2023-02-02,2195,2195
TX00019_202303,L00019,T0597,U0016,2023-03-01,2023-03-02,2195,2195
TX00019_202304,L00019,T0597,U0016,2023-04-01,2023-04-02,2195,2095
TX00019_202305,L00019,T0597,U0016,2023-05-01,2023-05-01,2195,2195
TX00019_202306,L00019,T0597,U0016,2023-06-01,2023-06-01,2195,2145
TX00020_202502,L00020,T0833,U0343,2025-02-01,2025-02-02,1070,1070
TX00020_202503,L00020,T0833,U0343,2025-03-01,2025-03-01,1070,1070
TX00020_202504,L00020,T0833,U0343,2025-04-01,2025-04-01,1070,1045
TX00020_202505,L00020,T0833,U0343,2025-05-01,2025-05-04,1070,1045
TX00020_202506,L00020,T0833,U0343,2025-06-01,2025-06-04,1070,1070
TX00020_202507,L00020,T0833,U0343,2025-07-01,2025-07-04,1070,1070
TX00020_202508,L00020,T0833,U0343,2025-08-01,2025-08-02,1070,1070
TX00020_202509,L00020,T0833,U0343,2025-09-01,2025-09-01,1070,1070
TX00020_202510,L00020,T0833,U0343,2025-10-01,2025-10-02,1070,1070
TX00020_202511,L00020,T0833,U0343,2025-11-01,2025-11-04,1070,1070
TX00020_202512,L00020,T0833,U0343,2025-12-01,2025-12-01,1070,1045
TX00020_202601,L00020,T0833,U0343,2026-01-01,2026-01-02,1070,1045
TX00020_202602,L00020,T0833,U0343,2026-02-01,2026-02-02,1070,970
TX00020_202603,L00020,T0833,U0343,2026-03-01,2026-03-02,1070,1070
TX00020_202604,L00020,T0833,U0343,2026-04-01,2026-04-01,1070,1070
TX00020_202605,L00020,T0833,U0343,2026-05-01,2026-05-11,1070,1070
TX00021_202102,L00021,T0521,U0276,2021-02-01,2021-02-01,1351,1351
TX00021_202103,L00021,T0521,U0276,2021-03-01,2021-03-04,1351,1351
TX00021_202104,L00021,T0521,U0276,2021-04-01,2021-04-21,1351,1351
TX00021_202105,L00021,T0521,U0276,2021-05-01,2021-05-01,1351,1351
TX00021_202106,L00021,T0521,U0276,2021-06-01,2021-06-04,1351,1301
TX00021_202107,L00021,T0521,U0276,2021-07-01,2021-07-01,1351,1351
TX00021_202108,L00021,T0521,U0276,2021-08-01,2021-08-04,1351,1351
TX00021_202109,L00021,T0521,U0276,2021-09-01,2021-09-01,1351,1351
TX00021_202110,L00021,T0521,U0276,2021-10-01,2021-10-01,1351,1351
TX00021_202111,L00021,T0521,U0276,2021-11-01,2021-11-01,1351,1351
TX00021_202112,L00021,T0521,U0276,2021-12-01,2021-12-04,1351,1351
TX00021_202201,L00021,T0521,U0276,2022-01-01,2022-01-04,1351,1351
TX00022_202307,L00022,T0516,U0306,2023-07-01,2023-07-02,1388,1388
TX00022_202308,L00022,T0516,U0306,2023-08-01,2023-08-04,1388,1388
TX00022_202309,L00022,T0516,U0306,2023-09-01,2023-09-04,1388,1388
TX00022_202310,L00022,T0516,U0306,2023-10-01,2023-10-01,1388,1288
TX00022_202311,L00022,T0516,U0306,2023-11-01,2023-11-02,1388,1388
TX00022_202312,L00022,T0516,U0306,2023-12-01,2023-12-11,1388,1388
TX00022_202401,L00022,T0516,U0306,2024-01-01,2024-01-01,1388,1288
TX00022_202402,L00022,T0516,U0306,2024-02-01,2024-02-01,1388,1338
TX00022_202403,L00022,T0516,U0306,2024-03-01,2024-03-01,1388,1363
TX00022_202404,L00022,T0516,U0306,2024-04-01,2024-04-02,1388,1288
TX00022_202405,L00022,T0516,U0306,2024-05-01,2024-05-02,1388,1388
TX00022_202406,L00022,T0516,U0306,2024-06-01,2024-06-02,1388,1388
TX00022_202407,L00022,T0516,U0306,2024-07-01,2024-07-04,1388,1338
TX00022_202408,L00022,T0516,U0306,2024-08-01,2024-08-02,1388,1363
TX00022_202409,L00022,T0516,U0306,2024-09-01,2024-09-01,1388,1388
TX00022_202410,L00022,T0516,U0306,2024-10-01,2024-10-01,1388,1388
TX00023_202202,L00023,T0634,U0058,2022-02-01,2022-02-01,1433,1408
TX00023_202203,L00023,T0634,U0058,2022-03-01,2022-03-01,1433,1433
TX00023_202204,L00023,T0634,U0058,2022-04-01,2022-04-01,1433,1383
TX00023_202205,L00023,T0634,U0058,2022-05-01,2022-05-01,1433,1433
TX00023_202206,L00023,T0634,U0058,2022-06-01,2022-06-01,1433,1408
TX00023_202207,L00023,T0634,U0058,2022-07-01,2022-07-01,1433,1408
TX00023_202208,L00023,T0634,U0058,2022-08-01,2022-08-01,1433,1408
TX00023_202209,L00023,T0634,U0058,2022-09-01,2022-09-01,1433,1433
TX00023_202210,L00023,T0634,U0058,2022-10-01,2022-10-02,1433,1433
TX00023_202211,L00023,T0634,U0058,2022-11-01,2022-11-01,1433,1333
