LeaseID,TenantID,UnitID,StartDate,EndDate,MonthlyRent,DepositAmount
L00074,T0209,U0160,2021-06-20,2022-03-02,1454,1308.6000000000001
L00075,T0984,U0126,2021-06-08,2023-04-20,999,899.1
L00076,T0992,U0419,2021-07-20,2022-04-10,1514,1362.6000000000001
L00077,T0622,U0081,2025-02-19,2025-10-05,1246,1121.4
L00078,T0615,U0484,2025-04-30,2027-03-05,1426,1283.4
L00079,T0827,U0146,2023-08-20,2025-03-08,1430,1287.0
L00080,T0682,U0238,2025-12-05,2027-06-26,1527,1374.3
L00081,T0459,U0411,2022-08-06,2023-09-07,1301,1170.9
L00082,T0355,U0423,2025-03-08,2026-08-15,2031,1827.9
L00083,T0323,U0083,2023-05-26,2024-07-08,1975,1777.5
L00084,T0132,U0112,2022-01-06,2023-03-16,1731,1557.9
L00085,T0887,U0224,2021-04-13,2022-06-02,1467,1320.3
L00086,T0804,U0331,2023-09-29,2024-04-21,1574,1416.6000000000001
L00087,T0839,U0377,2024-02-23,2025-05-08,1931,1737.9
L00088,T0126,U0242,2024-08-29,2025-11-22,1636,1472.4
L00089,T0105,U0142,2023-09-03,2024-07-01,830,747.0
L00090,T0603,U0040,2023-03-09,2024-05-18,2459,2213.1
L00091,T0798,U0422,2025-01-21,2026-09-13,2432,2188.8
L00092,T0377,U0257,2024-06-07,2025-08-19,2377,2139.3
L00093,T0904,U0446,2022-10-20,2023-06-03,2487,2238.3
L00094,T0050,U0284,2023-06-01,2025-05-05,1307,1176.3
L00095,T0028,U0104,2024-05-05,2025-05-27,725,652.5
L00096,T0461,U0201,2023-01-03,2024-05-07,2346,2111.4
L00097,T0295,U0449,2022-02-27,2023-01-21,2177,1959.3
L00098,T0296,U0306,2022-07-26,2024-04-03,1334,1200.6000000000001
L00099,T0725,U0330,2025-06-22,2026-05-22,1909,1718.1000000000001
L00100,T0778,U0460,2021-06-20,2022-03-16,1183,1064.7
L00101,T0406,U0265,2024-11-06,2026-04-27,1379,1241.1000000000001
L00102,T0768,U0397,2021-06-22,2022-06-10,1774,1596.6000000000001
L00103,T0813,U0209,2022-10-25,2023-11-25,704,633.6
L00104,T0612,U0050,2022-03-29,2023-12-24,1288,1159.2
L00105,T0404,U0117,2021-12-16,2022-12-29,1883,1694.7
L00106,T0345,U0200,2025-07-16,2027-05-12,907,816.3000000000001
L00107,T0621,U0376,2022-05-09,2024-04-20,956,860.4
L00108,T0419,U0038,2022-09-12,2023-09-26,1928,1735.2
L00109,T0181,U0027,2023-10-25,2025-04-27,2490,2241.0
L00110,T0982,U0258,2024-01-22,2025-10-10,710,639.0
L00111,T0824,U0083,2023-07-08,2024-09-07,1648,1483.2
L00112,T0000,U0453,2021-01-06,2022-03-25,707,636.3000000000001
L00113,T0830,U0154,2021-10-15,2022-06-09,2132,1918.8
L00114,T0949,U0116,2025-06-30,2026-10-24,1635,1471.5
L00115,T0566,U0001,2024-03-15,2024-10-11,731,657.9
L00116,T0370,U0092,2025-12-12,2027-10-20,1239,1115.1000000000001
L00117,T0935,U0165,2024-12-18,2026-02-19,2441,2196.9
L00118,T0910,U0386,2022-08-31,2023-11-24,1704,1533.6000000000001
L00119,T0660,U0399,2022-04-02,2023-10-27,1086,977.4
L00120,T0430,U0349,2025-10-31,2027-09-12,1951,1755.9
L00121,T0968,U0295,2024-05-10,2025-01-28,1339,1205.1000000000001
L00122,T0308,U0257,2024-05-20,2025-11-15,2490,2241.0
L00123,T0136,U0080,2023-10-27,2025-10-24,2198,1978.2
L00124,T0201,U0424,2022-09-16,2024-02-19,2447,2202.3
L00125,T0435,U0267,2022-01-11,2023-08-20,2474,2226.6
L00126,T0312,U0418,2022-03-23,2023-11-17,906,815.4
L00127,T0116,U0234,2023-04-15,2024-01-12,2041,1836.9
L00128,T0665,U0320,2024-02-04,2025-09-17,2480,2232.0
L00129,T0936,U0310,2025-08-02,2027-04-05,1256,1130.4
L00130,T0802,U0300,2023-03-22,2024-02-23,2340,2106.0
L00131,T0574,U0462,2024-11-25,2025-06-06,1047,942.3000000000001
L00132,T0243,U0473,2024-01-25,2025-07-30,1492,1342.8
L00133,T0536,U0356,2024-11-12,2025-12-21,933,839.7
L00134,T0601,U0212,2023-08-17,2025-07-01,2424,2181.6
L00135,T0074,U0061,2025-01-15,2025-09-24,1767,1590.3
L00136,T0805,U0048,2023-04-29,2024-06-30,1705,1534.5
L00137,T0385,U0126,2023-03-20,2025-02-07,1436,1292.4
L00138,T0902,U0222,2023-09-06,2024-10-05,1641,1476.9
L00139,T0209,U0408,2022-02-20,2024-02-10,1865,1678.5
L00140,T0474,U0278,2022-12-27,2024-01-30,2371,2133.9
L00141,T0417,U0407,2025-03-08,2026-04-12,875,787.5
L00142,T0346,U0293,2022-03-30,2023-10-19,2377,2139.3
L00143,T0528,U0283,2024-08-07,2025-03-16,1148,1033.2
L00144,T0639,U0276,2025-04-07,2026-07-13,1291,1161.9
L00145,T0938,U0437,2024-05-01,2024-12-24,781,702.9
L00146,T0954,U0106,2021-05-30,2023-05-16,834,750.6
L00147,T0875,U0145,2023-01-29,2023-10-08,2442,2197.8
L00148,T0762,U0419,2023-02-18,2023-12-23,1555,1399.5
L00149,T0178,U0098,2023-08-31,2025-04-27,1900,1710.0
L00150,T0181,U0428,2023-02-02,2023-12-03,2106,1895.4
L00151,T0663,U0374,2023-09-29,2024-06-01,1966,1769.4
L00152,T0024,U0072,2025-03-19,2025-09-20,2290,2061.0
L00153,T0966,U0436,2024-11-17,2026-03-25,1864,1677.6000000000001
L00154,T0179,U0485,2024-09-01,2026-01-19,2180,1962.0
L00155,T0709,U0121,2021-03-17,2023-01-31,1139,1025.1000000000001
L00156,T0500,U0029,2022-08-22,2023-05-10,1779,1601.1000000000001
L00157,T0855,U0187,2024-07-17,2025-01-14,2250,2025.0
L00158,T0160,U0363,2021-08-13,2022-08-31,1396,1256.4
L00159,T0176,U0353,2025-04-03,2026-11-07,1118,1006.2
L00160,T0284,U0287,2021-04-23,2022-01-30,787,708.3000000000001
L00161,T0062,U0450,2021-09-08,2023-08-24,2332,2098.8
L00162,T0661,U0194,2024-06-10,2025-12-09,1355,1219.5
L00163,T0665,U0155,2023-04-21,2024-05-16,1731,1557.9
L00164,T0155,U0171,2025-12-20,2027-01-12,2200,1980.0
L00165,T0881,U0334,2022-12-15,2023-10-07,914,822.6
L00166,T0468,U0040,2024-01-12,2025-10-30,2408,2167.2000000000003
L00167,T0048,U0062,2021-05-05,2022-02-13,2458,2212.2000000000003
L00168,T0966,U0022,2024-04-13,2026-02-16,1251,1125.9
L00169,T0848,U0359,2023-12-29,2024-08-10,2220,1998.0
L00170,T0083,U0074,2023-12-07,2025-04-30,2417,2175.3
L00171,T0360,U0047,2023-06-03,2024-07-02,1202,1081.8
L00172,T0688,U0159,2024-07-03,2026-05-05,1398,1258.2
L00173,T0147,U0312,2025-10-17,2027-07-07,944,849.6
L00174,T0629,U0117,2021-01-30,2023-01-15,2201,1980.9
L00175,T0341,U0099,2021-10-08,2023-08-29,1008,907.2
L00176,T0475,U0379,2023-07-13,2025-04-10,930,837.0
L00177,T0062,U0416,2024-06-14,2026-06-10,2106,1895.4
L00178,T0700,U0407,2024-06-25,2026-06-10,854,768.6
L00179,T0359,U0166,2022-01-03,2023-12-23,1898,1708.2
L00180,T0560,U0289,2022-05-10,2024-03-03,1547,1392.3
L00181,T0326,U0439,2023-11-15,2024-05-28,814,732.6
L00182,T0768,U0155,2025-05-29,2026-07-25,2113,1901.7
L00183,T0735,U0420,2022-12-19,2024-01-09,1010,909.0
L00184,T0140,U0006,2025-02-22,2026-05-18,1692,1522.8
L00185,T0989,U0195,2023-10-14,2024-08-03,999,899.1
L00186,T0214,U0420,2025-02-26,2026-06-19,1741,1566.9
L00187,T0434,U0055,2024-08-30,2026-06-23,1483,1334.7
L00188,T0890,U0320,2022-08-29,2024-03-27,711,639.9
L00189,T0951,U0192,2022-01-10,2023-08-06,2127,1914.3
L00190,T0722,U0046,2022-10-01,2023-06-12,2427,2184.3
L00191,T0317,U0147,2023-11-15,2025-09-06,931,837.9
L00192,T0031,U0274,2024-09-19,2025-06-28,1654,1488.6000000000001
L00193,T0669,U0156,2024-10-10,2026-01-29,2328,2095.2000000000003
L00194,T0284,U0201,2021-04-26,2022-04-18,1429,1286.1000000000001
L00195,T0304,U0443,2021-02-17,2022-03-18,2001,1800.9
L00196,T0428,U0401,2025-10-28,2027-03-06,2076,1868.4
L00197,T0476,U0475,2025-12-07,2026-07-13,1717,1545.3
L00198,T0285,U0418,2021-04-09,2022-06-21,1698,1528.2
L00199,T0143,U0426,2025-01-22,2025-07-27,1002,901.8000000000001
L00200,T0423,U0494,2025-03-27,2025-11-10,1240,1116.0
L00201,T0018,U0478,2025-06-09,2027-05-27,1169,1052.1000000000001
L00202,T0017,U0474,2022-02-09,2023-01-15,1512,1360.8
L00203,T0768,U0125,2024-05-22,2025-05-12,776,698.4
L00204,T0589,U0394,2022-11-16,2023-05-16,1719,1547.1000000000001
L00205,T0370,U0304,2023-06-22,2025-03-17,2244,2019.6000000000001
L00206,T0174,U0368,2022-05-18,2023-08-16,723,650.7
L00207,T0193,U0293,2025-10-11,2027-08-19,1738,1564.2
L00208,T0501,U0063,2025-01-11,2025-08-06,1375,1237.5
L00209,T0987,U0324,2023-06-13,2024-11-06,1224,1101.6000000000001
L00210,T0112,U0391,2025-05-19,2025-11-15,1046,941.4
L00211,T0113,U0417,2021-09-15,2022-09-17,871,783.9
L00212,T0221,U0175,2023-04-24,2023-12-15,2050,1845.0
L00213,T0677,U0115,2021-05-01,2023-04-27,1411,1269.9
L00214,T0946,U0439,2023-03-21,2024-01-06,2208,1987.2
L00215,T0830,U0203,2023-09-05,2025-01-06,1188,1069.2
L00216,T0643,U0485,2021-02-23,2021-09-26,2185,1966.5
L00217,T0896,U0320,2023-10-16,2025-06-25,1077,969.3000000000001
L00218,T0263,U0030,2024-09-16,2026-02-02,2311,2079.9
L00219,T0924,U0387,2023-02-23,2024-06-23,1887,1698.3
L00220,T0054,U0112,2021-08-29,2023-08-12,1071,963.9
L00221,T0870,U0364,2025-11-14,2026-08-29,2296,2066.4
L00222,T0642,U0433,2025-04-03,2026-10-06,1699,1529.1000000000001
L00223,T0799,U0324,2022-04-28,2023-10-16,1676,1508.4
L00224,T0777,U0413,2023-10-10,2024-10-04,2147,1932.3
L00225,T0457,U0375,2021-07-06,2022-12-23,1456,1310.4
L00226,T0978,U0343,2022-10-18,2023-06-22,1176,1058.4
L00227,T0877,U0442,2021-09-19,2023-01-03,1081,972.9
L00228,T0161,U0066,2023-08-11,2024-08-05,854,768.6
L00229,T0379,U0074,2024-10-19,2026-07-26,956,860.4
L00230,T0992,U0044,2022-05-06,2024-01-09,2479,2231.1
L00231,T0086,U0259,2022-03-07,2023-12-10,1373,1235.7
L00232,T0054,U0153,2021-08-27,2023-08-10,767,690.3000000000001
L00233,T0475,U0154,2021-10-31,2022-07-03,1043,938.7
L00234,T0799,U0429,2021-10-25,2022-05-13,2000,1800.0
L00235,T0177,U0362,2021-03-17,2022-10-01,1372,1234.8
L00236,T0390,U0447,2025-09-20,2026-04-26,1090,981.0
L00237,T0348,U0474,2024-09-18,2025-12-26,2172,1954.8
L00238,T0007,U0233,2023-09-26,2025-02-22,958,862.2
L00239,T0832,U0050,2025-11-17,2026-11-19,1006,905.4
L00240,T0312,U0305,2022-10-04,2023-11-30,1818,1636.2
L00241,T0758,U0261,2025-02-06,2025-10-16,1649,1484.1000000000001
L00242,T0834,U0314,2023-04-07,2025-01-24,2187,1968.3
L00243,T0983,U0124,2021-10-10,2022-07-17,1669,1502.1000000000001
L00244,T0982,U0398,2022-08-14,2024-07-07,945,850.5
L00245,T0442,U0244,2021-03-13,2022-03-03,1432,1288.8
L00246,T0766,U0029,2024-07-10,2025-08-31,2358,2122.2000000000003
L00247,T0327,U0425,2022-12-04,2023-07-30,886,797.4
L00248,T0053,U0484,2022-07-29,2023-05-03,2497,2247.3
L00249,T0760,U0121,2023-09-27,2025-08-01,1624,1461.6000000000001
L00250,T0238,U0124,2023-06-11,2025-05-04,1484,1335.6000000000001
L00251,T0228,U0036,2021-01-12,2022-05-03,2096,1886.4
L00252,T0578,U0169,2021-05-21,2022-06-15,2295,2065.5
L00253,T0050,U0123,2025-11-25,2026-09-23,2129,1916.1000000000001
L00254,T0608,U0356,2025-04-28,2026-06-10,1107,996.3000000000001
L00255,T0603,U0034,2021-01-17,2022-08-07,1848,1663.2
L00256,T0263,U0086,2023-12-23,2024-11-06,2060,1854.0
L00257,T0417,U0133,2021-09-10,2023-08-31,1040,936.0
L00258,T0802,U0195,2022-04-10,2023-11-01,1262,1135.8
L00259,T0095,U0273,2022-01-11,2023-04-05,1901,1710.9
L00260,T0087,U0200,2023-09-08,2024-03-17,1350,1215.0
L00261,T0077,U0368,2022-06-04,2023-12-24,1651,1485.9
L00262,T0287,U0284,2021-03-31,2022-08-29,1893,1703.7
L00263,T0119,U0076,2022-12-21,2024-11-05,1762,1585.8
L00264,T0813,U0058,2023-03-15,2023-12-25,768,691.2
L00265,T0490,U0430,2023-03-07,2023-10-04,1959,1763.1000000000001
L00266,T0911,U0125,2022-09-22,2023-06-02,2283,2054.7000000000003
L00267,T0451,U0499,2024-04-13,2025-03-29,1080,972.0
L00268,T0499,U0400,2021-03-17,2021-11-20,756,680.4
L00269,T0164,U0108,2025-06-25,2026-12-18,2000,1800.0
L00270,T0181,U0223,2023-07-15,2025-03-18,1549,1394.1000000000001
L00271,T0468,U0495,2025-08-14,2026-05-20,1822,1639.8
L00272,T0909,U0277,2022-02-04,2022-08-11,1615,1453.5
L00273,T0734,U0067,2025-12-11,2026-07-07,2250,2025.0
L00274,T0822,U0068,2023-08-28,2024-06-16,1024,921.6
L00275,T0943,U0164,2023-12-31,2025-10-02,1160,1044.0
L00276,T0977,U0488,2024-04-18,2025-03-06,878,790.2
L00277,T0006,U0304,2024-02-22,2025-09-13,1543,1388.7
L00278,T0329,U0396,2024-11-05,2025-10-07,1273,1145.7
L00279,T0774,U0161,2024-08-09,2026-01-05,818,736.2
L00280,T0672,U0364,2023-03-08,2024-05-20,2192,1972.8
L00281,T0150,U0341,2021-07-14,2022-04-01,1248,1123.2
L00282,T0084,U0308,2021-08-16,2023-04-28,1345,1210.5
L00283,T0146,U0378,2024-12-25,2025-12-11,2178,1960.2
L00284,T0623,U0342,2024-12-30,2026-02-13,725,652.5
L00285,T0380,U0434,2025-12-16,2026-08-27,2213,1991.7
L00286,T0914,U0386,2022-04-06,2023-06-29,1731,1557.9
L00287,T0547,U0041,2022-09-10,2023-05-09,1668,1501.2
L00288,T0284,U0353,2023-11-11,2025-03-24,2239,2015.1000000000001
L00289,T0699,U0415,2021-03-05,2021-12-11,1232,1108.8
L00290,T0081,U0108,2021-06-14,2023-02-12,848,763.2
L00291,T0513,U0050,2021-01-27,2022-04-06,2211,1989.9
L00292,T0896,U0249,2024-08-27,2026-08-08,1748,1573.2
L00293,T0814,U0496,2023-10-09,2024-07-26,1354,1218.6000000000001
L00294,T0708,U0340,2021-10-12,2023-02-16,2480,2232.0
L00295,T0915,U0429,2025-08-11,2027-05-13,1644,1479.6000000000001
L00296,T0522,U0382,2021-10-08,2023-07-11,1254,1128.6000000000001
L00297,T0745,U0491,2023-04-18,2024-01-14,1124,1011.6
L00298,T0385,U0020,2023-04-11,2023-11-28,992,892.8000000000001
L00299,T0706,U0299,2024-04-02,2026-03-02,1908,1717.2
L00300,T0470,U0138,2023-07-07,2024-04-09,1253,1127.7
L00301,T0118,U0358,2021-08-12,2022-10-01,1130,1017.0
L00302,T0395,U0323,2023-02-23,2024-08-29,1303,1172.7
L00303,T0531,U0498,2024-03-15,2025-05-02,1016,914.4
L00304,T0260,U0384,2023-08-23,2024-03-21,1097,987.3000000000001
L00305,T0804,U0091,2023-08-08,2024-11-18,2047,1842.3
L00306,T0933,U0446,2023-11-20,2025-11-10,2288,2059.2000000000003
L00307,T0255,U0279,2021-02-14,2021-12-04,1295,1165.5
L00308,T0733,U0124,2025-12-16,2027-01-03,1245,1120.5
L00309,T0904,U0482,2022-04-16,2022-11-10,775,697.5
L00310,T0225,U0396,2021-02-03,2022-11-18,1564,1407.6000000000001
L00311,T0052,U0110,2022-10-15,2023-12-21,1615,1453.5
L00312,T0939,U0353,2024-12-21,2026-07-09,1408,1267.2
L00313,T0866,U0138,2023-04-10,2023-12-07,1185,1066.5
L00314,T0499,U0483,2021-08-09,2023-07-04,1811,1629.9
L00315,T0505,U0434,2022-06-18,2024-02-17,1446,1301.4
L00316,T0853,U0272,2022-11-23,2024-11-08,1955,1759.5
L00317,T0363,U0098,2024-10-22,2025-09-07,1730,1557.0
L00318,T0279,U0251,2023-07-21,2024-11-11,1249,1124.1000000000001
L00319,T0592,U0337,2023-04-21,2024-08-23,1675,1507.5
L00320,T0713,U0103,2025-11-02,2027-08-14,1775,1597.5
L00321,T0157,U0213,2023-10-08,2025-05-02,2378,2140.2000000000003
L00322,T0631,U0248,2025-04-23,2027-01-07,1641,1476.9
L00323,T0058,U0151,2022-08-05,2023-07-22,1618,1456.2
L00324,T0726,U0249,2024-02-14,2024-09-11,2119,1907.1000000000001
L00325,T0127,U0274,2021-08-27,2022-04-10,1944,1749.6000000000001
L00326,T0735,U0164,2024-09-20,2025-07-26,2151,1935.9
L00327,T0720,U0486,2022-03-17,2023-08-30,2475,2227.5
L00328,T0881,U0340,2021-05-28,2022-01-20,1866,1679.4
L00329,T0114,U0007,2023-10-30,2024-08-10,1062,955.8000000000001
L00330,T0208,U0283,2024-08-04,2025-12-26,1081,972.9
L00331,T0525,U0004,2022-01-23,2023-08-08,2284,2055.6
L00332,T0520,U0144,2023-12-10,2024-11-15,2000,1800.0
L00333,T0551,U0100,2025-03-21,2026-06-29,970,873.0
L00334,T0961,U0163,2023-07-05,2024-03-11,1737,1563.3
L00335,T0236,U0373,2022-09-30,2024-06-24,997,897.3000000000001
L00336,T0280,U0146,2025-05-30,2026-12-27,1703,1532.7
L00337,T0358,U0063,2025-08-28,2027-07-23,2187,1968.3
L00338,T0200,U0090,2021-10-05,2022-04-28,2250,2025.0
L00339,T0757,U0116,2023-09-16,2025-01-20,933,839.7
L00340,T0277,U0353,2024-08-16,2025-06-17,1274,1146.6000000000001
L00341,T0234,U0266,2025-12-31,2027-08-10,2431,2187.9
L00342,T0493,U0309,2022-08-12,2023-08-24,726,653.4
L00343,T0003,U0172,2022-10-11,2023-10-13,2194,1974.6000000000001
L00344,T0665,U0046,2022-09-10,2024-07-04,792,712.8000000000001
L00345,T0441,U0139,2025-06-19,2027-03-10,1316,1184.4
L00346,T0028,U0245,2021-05-15,2023-04-17,1008,907.2
L00347,T0108,U0148,2022-08-03,2024-01-18,751,675.9
L00348,T0609,U0245,2024-03-16,2024-12-20,1018,916.2
L00349,T0726,U0394,2022-05-05,2023-08-05,880,792.0
L00350,T0804,U0486,2022-04-23,2024-02-22,2292,2062.8
L00351,T0074,U0475,2024-03-28,2025-06-05,1843,1658.7
L00352,T0837,U0004,2022-01-19,2023-08-02,1574,1416.6000000000001
L00353,T0145,U0464,2021-06-12,2023-06-03,1766,1589.4
L00354,T0127,U0183,2022-03-17,2023-06-03,1346,1211.4
L00355,T0852,U0019,2024-04-27,2025-09-17,1983,1784.7
L00356,T0041,U0424,2022-02-19,2022-12-10,896,806.4
L00357,T0355,U0045,2024-09-24,2025-12-23,1344,1209.6000000000001
L00358,T0040,U0011,2025-06-19,2027-04-17,1670,1503.0
L00359,T0933,U0069,2024-04-19,2025-07-23,954,858.6
L00360,T0033,U0016,2021-10-15,2023-01-12,1431,1287.9
L00361,T0016,U0370,2021-07-06,2022-11-25,1035,931.5
L00362,T0676,U0146,2024-03-07,2025-04-01,2276,2048.4
L00363,T0152,U0153,2021-05-10,2021-12-01,2225,2002.5
L00364,T0997,U0303,2021-07-13,2022-02-04,1689,1520.1000000000001
L00365,T0377,U0107,2021-11-12,2022-08-01,1599,1439.1000000000001
L00366,T0587,U0235,2025-12-14,2027-07-29,1978,1780.2
L00367,T0598,U0307,2021-05-24,2022-05-05,1213,1091.7
L00368,T0628,U0351,2021-01-16,2021-12-30,2430,2187.0
L00369,T0873,U0069,2024-08-18,2025-09-30,941,846.9
L00370,T0341,U0182,2022-02-27,2023-08-27,848,763.2
L00371,T0980,U0249,2021-09-02,2023-08-10,2433,2189.7000000000003
L00372,T0026,U0227,2023-07-16,2025-07-02,2022,1819.8
L00373,T0824,U0101,2024-02-05,2026-01-08,1456,1310.4
L00374,T0286,U0074,2024-01-17,2024-09-24,1319,1187.1000000000001
L00375,T0645,U0416,2021-05-09,2022-02-18,1152,1036.8
L00376,T0730,U0445,2023-06-26,2024-09-29,2116,1904.4
L00377,T0167,U0215,2023-06-06,2024-04-13,911,819.9
L00378,T0609,U0406,2021-12-07,2023-11-20,1367,1230.3
L00379,T0267,U0398,2021-01-04,2022-03-28,2261,2034.9
L00380,T0748,U0410,2024-09-12,2026-04-26,1293,1163.7
L00381,T0820,U0202,2024-12-04,2025-06-19,2318,2086.2000000000003
L00382,T0454,U0191,2021-11-02,2022-08-25,830,747.0
L00383,T0905,U0248,2023-06-27,2024-05-15,2052,1846.8
L00384,T0684,U0498,2022-08-30,2024-04-22,1311,1179.9
L00385,T0400,U0241,2025-10-11,2027-04-12,955,859.5
L00386,T0921,U0464,2024-06-02,2025-01-17,2202,1981.8
L00387,T0980,U0178,2024-10-03,2025-07-15,1260,1134.0
L00388,T0475,U0436,2023-09-19,2024-10-18,762,685.8000000000001
L00389,T0701,U0461,2021-11-17,2023-07-14,2034,1830.6000000000001
L00390,T0633,U0218,2022-07-13,2023-03-21,1106,995.4
L00391,T0557,U0081,2024-04-19,2026-01-04,1501,1350.9
L00392,T0575,U0091,2022-09-10,2023-09-10,1828,1645.2
L00393,T0129,U0434,2022-12-12,2023-08-18,2340,2106.0
L00394,T0821,U0174,2024-11-10,2025-10-05,714,642.6
L00395,T0362,U0238,2025-06-30,2026-08-29,2410,2169.0
L00396,T0704,U0259,2025-12-21,2027-12-08,958,862.2
L00397,T0818,U0390,2025-12-01,2026-09-05,1422,1279.8
L00398,T0692,U0364,2024-02-06,2025-05-08,2135,1921.5
L00399,T0291,U0162,2022-06-15,2024-03-10,1982,1783.8
L00400,T0370,U0047,2022-02-14,2022-11-24,1313,1181.7
L00401,T0793,U0328,2024-08-12,2025-09-28,1983,1784.7
L00402,T0028,U0327,2023-03-29,2024-10-22,2394,2154.6
L00403,T0148,U0115,2024-04-09,2026-02-18,1768,1591.2
